soil_type	pH	sample_id	sample_label	replicate	soil_g	measured_percS	WP	water_PerTotalSoil	water_perDrySoil	bulk_density_gPercm3	volumetric_moisture_perTotSoil_rhoW	volumetric_moisture_perDrySoil_rhoW	time_min	h2_ppmv_raw	bulk_vol_soil_ml	porosity	vol_solids_ml	bottle_vol_ml	vol_HS_ml	vol_HS_dilution	h2_ppm_InDilution	h2_ppmv_dil_corr
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	0	0.674	4	0.634	1.464	240	238.536	2	0.7	0.674
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	14	0.764	4	0.634	1.464	240	238.536	2	0.6	0.765
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	27	0.664	4	0.634	1.464	240	238.536	2	0.6	0.664
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	43	0.573	4	0.634	1.464	240	238.536	2	0.6	0.573
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	62	0.497	4	0.634	1.464	240	238.536	2	0.6	0.496
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	94	0.531	4	0.634	1.464	240	238.536	2	0.6	0.530
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	115	0.303	4	0.634	1.464	240	238.536	2	0.6	0.301
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	147	0.341	4	0.634	1.464	240	238.536	2	0.6	0.339
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	188	0.231	4	0.634	1.464	240	238.536	2	0.6	0.227
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	219	0.199	4	0.634	1.464	240	238.536	2	0.6	0.196
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.431	0.036	0.039	234	0.197	4	0.634	1.464	240	238.536	2	0.6	0.193
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	0	0.592	4	0.634	1.464	240	238.536	2	0.7	0.591
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	13	0.588	4	0.634	1.464	240	238.536	2	0.6	0.588
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	26	0.519	4	0.634	1.464	240	238.536	2	0.6	0.519
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	42	0.506	4	0.634	1.464	240	238.536	2	0.6	0.506
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	61	0.365	4	0.634	1.464	240	238.536	2	0.6	0.363
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	93	0.446	4	0.634	1.464	240	238.536	2	0.6	0.444
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	115	0.378	4	0.634	1.464	240	238.536	2	0.6	0.376
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	146	0.370	4	0.634	1.464	240	238.536	2	0.6	0.368
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	187	0.227	4	0.634	1.464	240	238.536	2	0.6	0.224
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.431	0.036	0.040	218	0.185	4	0.634	1.464	240	238.536	2	0.6	0.181
